INGREDIENTES,UND,PRECIO / unidad,RENDIMIENTO,CATEGORÍA
Pasta Crema Mandarina,kg,11.96 €,100.00%,Secos y conservas
Pasta Crema Mojito,kg,11.25 €,100.00%,Secos y conservas
Pasta De Aceitunas,kg,13.85 €,100.00%,Secos y conservas
Pasta Empanadillas,kg,6.76 €,100.00%,Secos y conservas
Pasta Filo,kg,13.37 €,100.00%,Secos y conservas
Pasta Frambuesa Aroma,kg,16.85 €,100.00%,Secos y conservas
Pasta Fresa Aroma,kg,18.26 €,100.00%,Secos y conservas
Pasta Fresca,kg,6.00 €,100.00%,Secos y conservas
Pasta Galletas Cookies,kg,11.77 €,100.00%,Secos y conservas
Pasta Giandua,kg,20.45 €,100.00%,Secos y conservas
Pasta Kataifi,kg,12.11 €,100.00%,Secos y conservas
Pasta Limon Aromas,kg,12.03 €,100.00%,Secos y conservas
Pasta Mango Aroma,kg,24.70 €,100.00%,Secos y conservas
Pasta Maracuya Aroma,kg,29.10 €,100.00%,Secos y conservas
Pasta Menta Aroma,kg,17.00 €,100.00%,Secos y conservas
Pasta Moka Aroma,kg,13.30 €,100.00%,Secos y conservas
Pasta Naranaja Aroma,kg,2.33 €,100.00%,Secos y conservas
Pasta Piña Aroma,kg,13.13 €,100.00%,Secos y conservas
Pasta Platano Aroma,kg,15.07 €,100.00%,Secos y conservas
Pasta Rollo De Primavera,paquete,3.50 €,100.00%,Secos y conservas
Pasta Selva Negra Aroma,kg,24.01 €,100.00%,Secos y conservas
Pasta Wanton,paquete,1.75 €,100.00%,Secos y conservas
Pastas Te,unidad,0.09 €,100.00%,Secos y conservas
Pasteleria Variada,unidad,1.16 €,100.00%,Secos y conservas
Pastillaje-Azúcar Moldeable,kg,8.20 €,100.00%,Secos y conservas
Pastillas Regaliz,caja,4.25 €,100.00%,Secos y conservas
Pata De Cerdo Asada,kg,1.00 €,100.00%,Proteína animal
Pata De Cerdo Cong.,kg,2.20 €,100.00%,Proteína animal
Pata De Cerdo Fresc.,kg,6.38 €,100.00%,Proteína animal
Pate Restaurante,kg,4.60 €,100.00%,Proteína animal
Pato,unidad,5.95 €,100.00%,Proteína animal
Pato Cong.,kg,2.75 €,100.00%,Proteína animal
Pavo Entero Cong.,kg,3.10 €,100.00%,Proteína animal
Pavo Fresc.,kg,3.95 €,100.00%,Proteína animal
Pavo Jamon,kg,3.31 €,100.00%,Proteína animal
Pavo Muslo Cong.,kg,3.10 €,100.00%,Proteína animal
Pavo Pechuga Cong.,kg,5.75 €,100.00%,Proteína animal
Pavo Pechuga Embutido,kg,3.85 €,100.00%,Proteína animal
Pavo Pechuga Fresc.,kg,5.95 €,100.00%,Proteína animal
Pavo Redondo,kg,3.40 €,100.00%,Proteína animal
Peceto-Filo Cong.,kg,5.60 €,100.00%,Proteína animal
Peceto-Filo Fresc.,kg,5.95 €,100.00%,Proteína animal
Pectina,kg,15.62 €,100.00%,Secos y conservas
Pepinillos,kg,1.18 €,100.00%,Vegetales y frutas
Pepino,kg,1.28 €,100.00%,Vegetales y frutas
Pera,kg,1.80 €,100.00%,Vegetales y frutas
Pera Almibar,kg,0.70 €,100.00%,Secos y conservas
Perca Filete Cong,kg,5.25 €,100.00%,Proteína animal
Perdices Cong. Pieza,unidad,5.15 €,100.00%,Proteína animal
Perdiz,unidad,6.50 €,100.00%,Proteína animal
Perejil,manojo,0.28 €,100.00%,Vegetales y frutas
Perejil Desidratado,kg,2.06 €,100.00%,Vegetales y frutas
Perlas Oro (Pasteleria),paq.,26.87 €,100.00%,Secos y conservas
Perlas Plata (Pasteleria),kg,27.90 €,100.00%,Secos y conservas
Pescadilla,kg,7.25 €,100.00%,Proteína animal
Pescado Azul Lomo Cong,kg,4.00 €,100.00%,Proteína animal
Petit Four Blanco,unidad,0.45 €,100.00%,Secos y conservas
Petit Four Choco,unidad,0.45 €,100.00%,Secos y conservas
Peto Congelado,kg,4.80 €,100.00%,Proteína animal
Pez Espada Lomo Cong,kg,4.68 €,100.00%,Proteína animal
Picantones Cong.,unidad,3.50 €,100.00%,Proteína animal
Pichon,kg,18.93 €,100.00%,Proteína animal
Pierna Añojo Fresc.,kg,5.40 €,100.00%,Proteína animal
Pierna Cordero Lechal Des.,kg,28.00 €,100.00%,Proteína animal
Pierna/Paleta Cordero Cong.,kg,10.90 €,100.00%,Proteína animal
Pierna/Paleta De Cordero,kg,6.30 €,100.00%,Proteína animal
Pierna-Rueda Ternera Cong.,kg,5.20 €,100.00%,Proteína animal
Pimenton De La Vera,kg,9.26 €,100.00%,Secos y conservas
Pimenton Dulce,kg,4.34 €,100.00%,Secos y conservas
Pimenton Picante,kg,4.34 €,100.00%,Secos y conservas
Pimienta Blanca En Grano,kg,20.39 €,100.00%,Secos y conservas
Pimienta Blanca Molida,kg,19.68 €,100.00%,Secos y conservas
Pimienta De Jamaica,kg,19.48 €,100.00%,Secos y conservas
Pimienta Negra En Grano,kg,10.76 €,100.00%,Secos y conservas
Pimienta Negra Mlida,kg,13.00 €,100.00%,Secos y conservas
Pimienta Palmera,kg,104.66 €,100.00%,Secos y conservas
Pimienta Rosa,kg,20.00 €,100.00%,Secos y conservas
Pimienta Sonbre,unidad,0.01 €,100.00%,Secos y conservas
Pimienta Verde,kg,10.32 €,100.00%,Secos y conservas
Pimienta Verde En Lata,kg,3.40 €,100.00%,Secos y conservas
Pimiento Amarillo,kg,2.78 €,100.00%,Vegetales y frutas
Pimiento Chorizero,kg,8.84 €,100.00%,Vegetales y frutas
Pimiento Cong.,kg,1.51 €,100.00%,Vegetales y frutas
Pimiento De Padron,kg,2.90 €,100.00%,Vegetales y frutas
Pimiento Italiano,kg,2.15 €,100.00%,Vegetales y frutas
Pimiento Morron,kg,3.63 €,100.00%,Vegetales y frutas
Pimiento Piquillo,kg,3.63 €,100.00%,Vegetales y frutas
Pimiento Rojo,kg,2.40 €,100.00%,Vegetales y frutas
Pimiento Verde,kg,1.60 €,100.00%,Vegetales y frutas
Piña Cong.,kg,2.08 €,100.00%,Vegetales y frutas
Piña En Almibar,kg,1.09 €,100.00%,Vegetales y frutas
Piña Millo,unidad,1.15 €,100.00%,Vegetales y frutas
Piña Tropical,kg,3.85 €,100.00%,Vegetales y frutas
Piñones,kg,70.00 €,100.00%,Secos y conservas
Pipas De Calabaza,kg,12.66 €,100.00%,Secos y conservas
Pipas Girasol,kg,2.30 €,100.00%,Secos y conservas
Piramide Chocolate,unidad,0.94 €,100.00%,Proteína animal
Pistachos Pelados,kg,15.96 €,100.00%,Secos y conservas
Pistola De Res,kg,5.25 €,100.00%,Proteína animal
Platano Seco,kg,0.65 €,100.00%,Vegetales y frutas
Platanos,kg,0.52 €,100.00%,Vegetales y frutas
Pochas Cong.,kg,7.48 €,100.00%,Secos y conservas
Pollo Alas Cong.,kg,2.10 €,100.00%,Proteína animal
Pollo Alas Fresc.,kg,6.68 €,100.00%,Proteína animal
Pollo De Corral,kg,3.50 €,100.00%,Proteína animal
Pollo Entero Cong.,kg,1.55 €,100.00%,Proteína animal
Pollo Fresc.,kg,1.01 €,100.00%,Proteína animal
Pollo Jamoncito,kg,1.60 €,100.00%,Proteína animal
Pollo Muslo Cong.,kg,1.35 €,100.00%,Proteína animal
Pollo Muslo Fresc.,kg,4.50 €,100.00%,Proteína animal
Pollo Muslo S/H S/P,kg,2.85 €,100.00%,Proteína animal
Pollo Nuggets Cong.,kg,3.60 €,100.00%,Proteína animal
Pollo Pechuga Cong.,kg,2.40 €,100.00%,Proteína animal
Pollo Pechuga Empanada,kg,3.65 €,100.00%,Proteína animal
Pollo Pechuga Fresc.,kg,2.70 €,100.00%,Proteína animal
Pollo Picanton,kg,2.99 €,100.00%,Proteína animal
Polvo De Regaliz,kg,28.50 €,100.00%,Secos y conservas
Polvorones,kg,5.52 €,100.00%,Secos y conservas
Pomelo,kg,2.35 €,100.00%,Vegetales y frutas
Postre Individual,kg,14.47 €,100.00%,Secos y conservas
Pota Cong,kg,4.80 €,100.00%,Proteína animal
Praguayos,kg,3.90 €,100.00%,Vegetales y frutas
Praline Almendra,kg,6.83 €,100.00%,Secos y conservas
Praline Avellana,kg,13.66 €,100.00%,Secos y conservas
Presa Cerdo Cong.,kg,15.25 €,100.00%,Proteína animal
Presa De Cerdo Fresc.,kg,14.50 €,100.00%,Proteína animal
Presa De Ternera Fresc.,kg,11.00 €,100.00%,Proteína animal
Profiteroles,unidad,0.45 €,100.00%,Secos y conservas
Puerros,kg,1.69 €,100.00%,Vegetales y frutas
Pularda Entera Cong.,kg,5.45 €,100.00%,Proteína animal
Pulpa Albaricoque Cong.,kg,5.78 €,100.00%,Vegetales y frutas
Pulpa Coco Cong.,kg,7.74 €,100.00%,Vegetales y frutas
Pulpa De Pimiento Chorizero,kg,8.84 €,100.00%,Vegetales y frutas
Pulpa Fresa Cong.,kg,5.58 €,100.00%,Vegetales y frutas
Pulpa Frutas Del Bosque Cong.,kg,5.28 €,100.00%,Vegetales y frutas
Pulpa Grosella Cong.,kg,5.90 €,100.00%,Vegetales y frutas
Pulpa Guayaba Cong.,kg,6.14 €,100.00%,Vegetales y frutas
Pulpa Higo Cong.,kg,6.94 €,100.00%,Vegetales y frutas
Pulpa Lima Cong.,kg,5.75 €,100.00%,Vegetales y frutas
Pulpa Mandarina Cong.,kg,8.87 €,100.00%,Vegetales y frutas
Pulpa Mango Cong.,kg,6.38 €,100.00%,Vegetales y frutas
Pulpa Manzana Cong.,kg,4.03 €,100.00%,Vegetales y frutas
Pulpa Maracuya Cong.,kg,8.10 €,100.00%,Vegetales y frutas
Pulpa Naranja Cong.,kg,6.49 €,100.00%,Vegetales y frutas
Pulpa Papaya Cong.,kg,6.29 €,100.00%,Vegetales y frutas
Pulpa Pera Cong.,kg,4.02 €,100.00%,Vegetales y frutas
Pulpa Piña Cong.,kg,6.11 €,100.00%,Proteína animal
Pulpa Pomelo Cong.,kg,8.21 €,100.00%,Vegetales y frutas
Pulpo Fresco,kg,7.94 €,100.00%,Proteína animal
Pulpo Cong,kg,6.20 €,100.00%,Proteína animal
Pure De Guindas,kg,6.13 €,100.00%,Secos y conservas
Pure De Papas,kg,1.56 €,100.00%,Secos y conservas
Quesadilla,unidad,1.83 €,100.00%,Secos y conservas
Queso Ahumado,kg,0.51 €,100.00%,Lácteos y sustitutos
Queso Ahumado Barra,kg,5.80 €,100.00%,Lácteos y sustitutos
Queso Almendra,kg,13.74 €,100.00%,Lácteos y sustitutos
Queso Artesano,kg,4.55 €,100.00%,Lácteos y sustitutos
Queso Azul,kg,5.78 €,100.00%,Lácteos y sustitutos
Queso Barra,kg,2.55 €,100.00%,Lácteos y sustitutos
Queso Brie,kg,0.40 €,100.00%,Lácteos y sustitutos
Queso Cabra Fresco,kg,7.30 €,100.00%,Lácteos y sustitutos
Queso Cabrales,kg,17.48 €,100.00%,Lácteos y sustitutos
Queso Cabre Semi Curado,kg,7.60 €,100.00%,Lácteos y sustitutos
Queso Camberbert,kg,0.48 €,100.00%,Lácteos y sustitutos
Queso Cheedar,kg,6.95 €,100.00%,Lácteos y sustitutos
Queso Crema,kg,5.22 €,100.00%,Lácteos y sustitutos
Queso Cuarado Arico,kg,10.52 €,100.00%,Lácteos y sustitutos
Queso De Flor D.O.,kg,14.99 €,100.00%,Lácteos y sustitutos
Queso De Oveja,kg,0.64 €,100.00%,Lácteos y sustitutos
Queso Emmental,kg,0.70 €,100.00%,Lácteos y sustitutos
Queso Feta,kg,5.76,100.00%,Lácteos y sustitutos
Queso Fresco,kg,5.75 €,100.00%,Lácteos y sustitutos
Queso Fresco Ahumado,kg,5.80 €,100.00%,Lácteos y sustitutos
Queso Gofio,kg,6.75 €,100.00%,Lácteos y sustitutos
Queso Gorgonsola,kg,6.65 €,100.00%,Lácteos y sustitutos
Queso Gouda,kg,3.69 €,100.00%,Lácteos y sustitutos
Queso Gruyere,kg,12.16 €,100.00%,Lácteos y sustitutos
Queso Herreño Tierno,kg,8.70 €,100.00%,Lácteos y sustitutos
Queso Idiazabal,kg,12.76 €,100.00%,Lácteos y sustitutos
Queso Majorero Semi Pim,kg,10.61 €,100.00%,Lácteos y sustitutos
Queso Manchego,kg,5.75 €,100.00%,Lácteos y sustitutos
Queso Mascarpone,kg,7.40 €,100.00%,Lácteos y sustitutos
Queso Mozarella,kg,5.66 €,100.00%,Lácteos y sustitutos
Queso Parmesano,kg,12.95 €,100.00%,Lácteos y sustitutos
Queso Picota,kg,6.88 €,100.00%,Lácteos y sustitutos
Queso Pimenton,kg,6.75 €,100.00%,Lácteos y sustitutos
Queso Quark,kg,2.70 €,100.00%,Lácteos y sustitutos
Queso Rallado,kg,3.9,100.00%,Lácteos y sustitutos
Queso Roquefort,kg,14.23,100.00%,Lácteos y sustitutos
Queso Rulo Cabra,kg,9.26 €,100.00%,Lácteos y sustitutos
Queso Torta Casar,kg,15.1,100.00%,Lácteos y sustitutos
Rabadilla De Ternera,kg,8.00 €,100.00%,Proteína animal
Rabanito,manojo,0.75 €,100.00%,Vegetales y frutas
Rabano,kg,0.70 €,100.00%,Vegetales y frutas
Rabo De Buey,kg,5.95 €,100.00%,Proteína animal
Rabo De Vacuno,kg,6.75 €,100.00%,Proteína animal
Rape Fresco,kg,23.90 €,100.00%,Proteína animal
Rape Cola Cong,kg,4.20 €,100.00%,Proteína animal
Ravioli Carne,kg,5.59 €,100.00%,Secos y conservas
Rebozador Papadum,kg,4.30 €,100.00%,Secos y conservas
Regaliz En Rama,kg,10.31 €,100.00%,Secos y conservas
Reina Luisa,unidad,0.75 €,100.00%,Vegetales y frutas
Relleno De Txangurro,kg,68.75 €,100.00%,Proteína animal
Remolacha,kg,0.52 €,100.00%,Vegetales y frutas
Reposteria,unidad,12.69 €,100.00%,Secos y conservas
Reposteria Sin Gluten,kg,9.45 €,100.00%,Secos y conservas
Requeson,kg,4.40 €,100.00%,Lácteos y sustitutos
Riñones De Cordero,kg,3.90 €,100.00%,Proteína animal
Riñones-Corazon De Cerdo,kg,3.00 €,100.00%,Proteína animal
Rodaballo Fresco,kg,9.95 €,100.00%,Proteína animal
Romero,manojo,0.70 €,100.00%,Vegetales y frutas
Rucola,manojo,0.70 €,100.00%,Vegetales y frutas
Ruibardos,kg,5.42 €,100.00%,Vegetales y frutas
Sacarinas,unidad,,100.00%,Secos y conservas
Sake,lts.,10.45 €,100.00%,Bebidas
Sal Ahumada,kg,40.81 €,100.00%,Secos y conservas
Sal En Escamas,kg,64.16 €,100.00%,Secos y conservas
Sal Especial,kg,21.17 €,100.00%,Secos y conservas
Sal Fina,kg,0.25 €,100.00%,Secos y conservas
Sal Gruesa,kg,0.24 €,100.00%,Secos y conservas
Sal Maldon,kg,18.28 €,100.00%,Secos y conservas
Sal Sobre,unidad,0.00 €,100.00%,Secos y conservas
Salami,kg,4.09 €,100.00%,Proteína animal
Salchicha Alemana,kg,6.54 €,100.00%,Proteína animal
Salchicha Blanca,kg,2.20 €,100.00%,Proteína animal
Salchicha Bratwurts,kg,6.54 €,100.00%,Proteína animal
Salchicha Coctel,kg,4.67 €,100.00%,Proteína animal
Salchicha Frank.,kg,2.60 €,100.00%,Proteína animal
Salchichas Parrilleras,kg,3.75 €,100.00%,Proteína animal
Salchichon,kg,3.83 €,100.00%,Proteína animal
Salchichon Iberico Bellota,kg,10.75 €,100.00%,Proteína animal
Salmon Ahumado,kg,14.50 €,100.00%,Proteína animal
Salmon Cong,kg,4.00 €,100.00%,Proteína animal
Salmon Fresco,kg,10.95 €,100.00%,Proteína animal
Salmonete,kg,3.90 €,100.00%,Proteína animal
Salmonete Fresco,kg,23.60 €,100.00%,Proteína animal
Salsa Agridulce,kg,7.50 €,100.00%,Secos y conservas
Salsa De Soja,kg,6.61 €,100.00%,Secos y conservas
Salsa Perryns,unidad,1.78 €,100.00%,Secos y conservas
Salsa Tabasco,bote,1.81 €,100.00%,Secos y conservas
Salsa Tomate Ketchup,kg,1.04 €,100.00%,Secos y conservas
Salvado,kg,0.61 €,100.00%,Secos y conservas
Salvia,manojo,0.85 €,100.00%,Secos y conservas
Sama Cong,kg,4.00 €,100.00%,Proteína animal
Sama Fresco,kg,7.41 €,100.00%,Proteína animal
Sandía,kg,0.90 €,100.00%,Vegetales y frutas
Sardina Cong,kg,1.80 €,100.00%,Proteína animal
Sardina Fresco,kg,2.95 €,100.00%,Proteína animal
Sardinas En Conservas,kg,15.63 €,100.00%,Proteína animal
Sargo Cong.,kg,3.95 €,100.00%,Proteína animal
Sargo Fresco,kg,7.53 €,100.00%,Proteína animal
Secreto De Cerdo,kg,15.73 €,100.00%,Proteína animal
Semola De Maiz(Polenta),kg,6.76 €,100.00%,Secos y conservas
Semola De Trigo,kg,2.36 €,100.00%,Secos y conservas
Sepia Fresco,kg,11.10 €,100.00%,Proteína animal
Sesamo Blanco,kg,3.39 €,100.00%,Secos y conservas
Sesamo Negro,kg,8.33 €,100.00%,Secos y conservas
Sesos De Cordero,kg,7.98 €,100.00%,Proteína animal
Sesos De Res,kg,2.00 €,100.00%,Proteína animal
Set Aceite Vinagre Y Sal,unidad,0.16 €,100.00%,Fungibles
Seta Granel,kg,6.55 €,100.00%,Vegetales y frutas
Sirope Sabores,unidad,2.81 €,100.00%,Secos y conservas
Soja Germinada,kg,6.25 €,100.00%,Secos y conservas
Solomillo 3/4 Cong.,kg,13.00 €,100.00%,Proteína animal
Solomillo 3/4 Refrig.,kg,18.75 €,100.00%,Proteína animal
Solomillo 4/5 Cong.,kg,15.50 €,100.00%,Proteína animal
Solomillo 4/5 Refrig.,kg,18.50 €,100.00%,Proteína animal
Solomillo Añojo Fresc.,kg,15.00 €,100.00%,Proteína animal
Solomillo Cerdo Cong.,kg,6.00 €,100.00%,Proteína animal
Solomillo Cerdo Iberico,kg,7.95 €,100.00%,Proteína animal
Solomillo Ciervo Cong.,kg,24.00 €,100.00%,Proteína animal
Solomillo Jabali,kg,15.50 €,100.00%,Proteína animal
Sorbete Helado,lt,0.76 €,100.00%,Secos y conservas
Sumfill Topfill Manzana,kg,5.26 €,100.00%,Secos y conservas
Super Mixo (Chocolate),kg,15.22 €,100.00%,Secos y conservas
Surtidos,kg,19.61 €,100.00%,Secos y conservas
Sucedaneo Caviar Negro,kg,25.94 €,100.00%,Secos y conservas
Sucedaneo Caviar Rojo,kg,25.94 €,100.00%,Secos y conservas
Sucedaneo De Anguila,kg,5.75 €,100.00%,Secos y conservas
Taco Pescado Cong.,kg,2.12 €,100.00%,Proteína animal
Taco Res Cong.,kg,5.60 €,100.00%,Proteína animal
Tacos De Cerdo Cong.,kg,3.60 €,100.00%,Proteína animal
Tagliatele Fresco,kg,7.33 €,100.00%,Secos y conservas
Tallarines Huevo,kg,1.17 €,100.00%,Secos y conservas
Tallarines Integrales,kg,7.92 €,100.00%,Secos y conservas
Tapete Para Fondant,unidad,22.90 €,100.00%,Fungibles
Tarta,kg,6.00 €,100.00%,Secos y conservas
Tarta Manzana,kg,7.56 €,100.00%,Secos y conservas
Tartaleta Dulce 39mm,unidad,0.07 €,100.00%,Secos y conservas
Tartaleta Salada 39mm,unidad,0.07 €,100.00%,Secos y conservas
Tartaleta Salada 49mm,unidad,0.08 €,100.00%,Secos y conservas
Tartaleta Salada Surtida,unidad,0.30 €,100.00%,Secos y conservas
Te Rojo,sobre,0.07 €,100.00%,Secos y conservas
Te Sobre,kg,0.04 €,100.00%,Secos y conservas
Te Verde,sobre,0.04 €,100.00%,Secos y conservas
Tempura,kg,1.96 €,100.00%,Secos y conservas
Terrina Foie,kg,30.85 €,100.00%,Proteína animal
Tila Sobre,kg,0.04 €,100.00%,Secos y conservas
Tinta De Calamar,unidad,0.15 €,100.00%,Secos y conservas
Tocino,kg,4.29 €,100.00%,Proteína animal
Tocino De Cerdo,kg,1.25 €,100.00%,Proteína animal
Tofu,kg,8.75 €,100.00%,Secos y conservas
Tollos,kg,3.33 €,100.00%,Proteína animal
Tomate Cherry,kg,4.20 €,100.00%,Vegetales y frutas
Tomate Ensalda,kg,1.95 €,100.00%,Vegetales y frutas
Tomate Entero,kg,0.63 €,100.00%,Vegetales y frutas
Tomate Frito,kg,0.63 €,100.00%,Secos y conservas
Tomate Negro,kg,3.25 €,100.00%,Vegetales y frutas
Tomate Pera,kg,1.45 €,100.00%,Vegetales y frutas
Tomate Salsa,kg,1.15 €,100.00%,Secos y conservas
Tomete Triturado,kg,0.48 €,100.00%,Secos y conservas
Tomillo,manojo,0.70 €,100.00%,Vegetales y frutas
Tomillo,kg,0.64 €,100.00%,Vegetales y frutas
Torillas De Arroz,kg,6.19 €,100.00%,Secos y conservas
Toronjil,manojo,0.50 €,100.00%,Vegetales y frutas
Tortellini Espinaca,kg,12.20 €,100.00%,Secos y conservas
Tortitas De Avena,kg,11.68 €,100.00%,Secos y conservas
Trigo Con Miel,kg,2.38 €,100.00%,Secos y conservas
Trigo Fino,kg,1.72 €,100.00%,Secos y conservas
Tripa De Bacalao Saladas,kg,20.18 €,100.00%,Proteína animal
Trompeta Muerte Deshidratada,kg,41.00 €,100.00%,Vegetales y frutas
Trucha Ahumada,kg,4.10 €,100.00%,Proteína animal
Trucha Asalmonada,kg,4.35 €,100.00%,Proteína animal
Trufa,kg,129.67 €,100.00%,Vegetales y frutas
Tubo De Calamar Cong.,kg,2.50 €,100.00%,Proteína animal
Turron Blando,kg,8.61 €,100.00%,Secos y conservas
Turron Chocolate,unidad,3.60 €,100.00%,Secos y conservas
Turron De Jijona,kg,6.63 €,100.00%,Secos y conservas
Turron Liquido,kg,9.91 €,100.00%,Secos y conservas
Uva Blanca,kg,1.45 €,100.00%,Vegetales y frutas
Uva Negra,kg,1.75 €,100.00%,Vegetales y frutas
Vaina De Vainilla,kg,35.40 €,100.00%,Secos y conservas
Ventresca De Atun,kg,37.53 €,100.00%,Proteína animal
Vieira Fresca,kg,31.70 €,100.00%,Proteína animal
Vieja Fresca,kg,12.50 €,100.00%,Proteína animal
Viejas Cong.,kg,6.50 €,100.00%,Proteína animal
Viejas Jareadas,kg,51.25 €,100.00%,Proteína animal
Vieras Cong.,kg,4.50 €,100.00%,Proteína animal
Vinagre Agridulce,kg,38.00 €,100.00%,Secos y conservas
Vinagre Balsamico,kg,,100.00%,Secos y conservas
Vinagre Blanco,kg,0´41 €,100.00%,Secos y conservas
Vinagre De Arroz,kg,4´91 €,100.00%,Secos y conservas
Vinagre De Jerez,kg,3´97 €,100.00%,Secos y conservas
Vinagre De Manzana,kg,1´90 €,100.00%,Secos y conservas
Vinagre De Modena,kg,9´37 €,100.00%,Secos y conservas
Vinagre Estragon,kg,4´54 €,100.00%,Secos y conservas
Vinagre Finas Hiervas,kg,4´68 €,100.00%,Secos y conservas
Vinagre Macho,kg,15´80 €,100.00%,Secos y conservas
Vinagre Miniatura 20 Mml,unidad,0´15 €,100.00%,Secos y conservas
Vinagre Tinto,l,0´49 €,100.00%,Secos y conservas
Viruta De Chocolate,kg,10´01 €,100.00%,Secos y conservas
Viruta De Trufa,kg,72´22 €,100.00%,Secos y conservas
Viruta Lamina Chocolate,kg,11´43 €,100.00%,Secos y conservas
Vol-Au-Vent 34mm,unidad,0´13 €,100.00%,Secos y conservas
Vol-Au-Vent 82mm,unidad,0´25 €,100.00%,Secos y conservas
Vol-Au-Vent Pez 60mm,unidad,0´40 €,100.00%,Secos y conservas
Wasabi,tubo,2´30 €,100.00%,Secos y conservas
Yema Liquida,kg,4´1,100.00%,Proteína animal
Yogour Activvia,unidad,0´29 €,100.00%,Lácteos y sustitutos
Yogour Liquido,unidad,0´19,100.00%,Lácteos y sustitutos
Yogour Natural,unidad,0´17 €,100.00%,Lácteos y sustitutos
Yogour Sabia,unidad,0´34 €,100.00%,Lácteos y sustitutos
Yogour Sabores,unidad,0´16,100.00%,Lácteos y sustitutos
Yogour Sabores Bio Soja,unidad,0´23 €,100.00%,Lácteos y sustitutos
Yogour Sabores C-Fruta,unidad,0´28,100.00%,Lácteos y sustitutos
Yogour Vegetal,unidad,1´24,100.00%,Lácteos y sustitutos
Yogour Vitalinea,unidad,0´18 €,100.00%,Lácteos y sustitutos
Yogur,kg,1´24 €,100.00%,Lácteos y sustitutos
Yuca,kg,2´30 €,100.00%,Vegetales y frutas
Zanahoria,kg,0´63 €,100.00%,Vegetales y frutas
Zanahoria Baby Congelada,kg,0´99 €,100.00%,Vegetales y frutas
Zanahoria Cong.,kg,0´67 €,100.00%,Vegetales y frutas
Zanahoria Rallada,kg,0´47 €,100.00%,Vegetales y frutas
Piparra En Vinagre,kg,17´00 €,100.00%,Vegetales y frutas
Fumet,l,4´50 €,100.00%,Proteína animal
Vino Blanco,l,0´69 €,100.00%,Bebidas
Vino Tinto,l,0´69 €,100.00%,Bebidas
